Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project lead id,Project description,Priority,Resolution,Assignee,Assignee Id,Reporter,Reporter Id,Creator,Creator Id,Created,Updated,Last Viewed,Resolved,Due date,Votes,Description,Environment,Watchers,Watchers Id,Original estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Custom field (Development),Custom field (Issue color),Custom field (Rank),Sprint,Custom field (Start date),Custom field (Story point estimate),Custom field (Team),Custom field (Vulnerability),Parent,Parent key,Parent summary,Status Category,Status Category Changed
Bug fixing,DEV-40,10061,Task,To Do,DEV,RAD RATS,software,Harini Senevirathne,712020:2f55402c-4486-4dd0-88c1-9fd3013fffbd,Your first project,Medium,,Harini Senevirathne,712020:2f55402c-4486-4dd0-88c1-9fd3013fffbd,Harini Senevirathne,712020:2f55402c-4486-4dd0-88c1-9fd3013fffbd,Harini Senevirathne,712020:2f55402c-4486-4dd0-88c1-9fd3013fffbd,3/31/2026 21:46,3/31/2026 21:54,,,4/14/2026 0:00,0,,,Harini Senevirathne,712020:2f55402c-4486-4dd0-88c1-9fd3013fffbd,,,,,,,,,,,0|i0004b:,DEV Sprint 2,,,,,,,,To Do,3/31/2026 21:47
UI Visibility Test: Log in as a Volunteer and verify that only the Volunteer Dashboard and Task interactions are visible.,DEV-39,10049,Subtask,To Do,DEV,RAD RATS,software,Harini Senevirathne,712020:2f55402c-4486-4dd0-88c1-9fd3013fffbd,Your first project,Medium,,,,Harini Senevirathne,712020:2f55402c-4486-4dd0-88c1-9fd3013fffbd,Harini Senevirathne,712020:2f55402c-4486-4dd0-88c1-9fd3013fffbd,3/20/2026 9:51,3/20/2026 9:51,,,,0,,,Harini Senevirathne,712020:2f55402c-4486-4dd0-88c1-9fd3013fffbd,,,,,,,,,,,0|i0007j:,DEV Sprint 1,,,,,10005,DEV-6,"Role-Based Access Control (RBAC): Implement logic to restrict certain views to ""Volunteer"" or ""Admin"" roles.",To Do,3/20/2026 9:51
Role Bypass Test: Attempt to access an Admin API using a Volunteer's login token to ensure it returns a 403 Forbidden error.,DEV-38,10047,Subtask,To Do,DEV,RAD RATS,software,Harini Senevirathne,712020:2f55402c-4486-4dd0-88c1-9fd3013fffbd,Your first project,Medium,,,,Harini Senevirathne,712020:2f55402c-4486-4dd0-88c1-9fd3013fffbd,Harini Senevirathne,712020:2f55402c-4486-4dd0-88c1-9fd3013fffbd,3/20/2026 9:51,3/20/2026 9:51,,,,0,,,Harini Senevirathne,712020:2f55402c-4486-4dd0-88c1-9fd3013fffbd,,,,,,,,,,,0|i0007b:,DEV Sprint 1,,,,,10005,DEV-6,"Role-Based Access Control (RBAC): Implement logic to restrict certain views to ""Volunteer"" or ""Admin"" roles.",To Do,3/20/2026 9:51
"Unauthorized Access Page: Design a simple ""403 Forbidden"" or ""Access Denied"" UI for users attempting to enter restricted areas.",DEV-37,10045,Subtask,To Do,DEV,RAD RATS,software,Harini Senevirathne,712020:2f55402c-4486-4dd0-88c1-9fd3013fffbd,Your first project,Medium,,,,Harini Senevirathne,712020:2f55402c-4486-4dd0-88c1-9fd3013fffbd,Harini Senevirathne,712020:2f55402c-4486-4dd0-88c1-9fd3013fffbd,3/20/2026 9:50,3/20/2026 9:50,,,,0,,,Harini Senevirathne,712020:2f55402c-4486-4dd0-88c1-9fd3013fffbd,,,,,,,,,,,0|i00073:,DEV Sprint 1,,,,,10005,DEV-6,"Role-Based Access Control (RBAC): Implement logic to restrict certain views to ""Volunteer"" or ""Admin"" roles.",To Do,3/20/2026 9:50
"Conditional Sidebar Rendering: Write logic to hide the ""Manage Users"" or ""Resource Request"" links from the sidebar if the logged-in user is a VOLUNTEER.",DEV-36,10043,Subtask,To Do,DEV,RAD RATS,software,Harini Senevirathne,712020:2f55402c-4486-4dd0-88c1-9fd3013fffbd,Your first project,Medium,,,,Harini Senevirathne,712020:2f55402c-4486-4dd0-88c1-9fd3013fffbd,Harini Senevirathne,712020:2f55402c-4486-4dd0-88c1-9fd3013fffbd,3/20/2026 9:50,3/20/2026 9:50,,,,0,,,Harini Senevirathne,712020:2f55402c-4486-4dd0-88c1-9fd3013fffbd,,,,,,,,,,,0|i0006v:,DEV Sprint 1,,,,,10005,DEV-6,"Role-Based Access Control (RBAC): Implement logic to restrict certain views to ""Volunteer"" or ""Admin"" roles.",To Do,3/20/2026 9:50
Route Guarding: Implement a frontend guard (in React/Angular) that redirects a Volunteer to the login page if they try to manually type the /admin-dashboard URL.,DEV-35,10041,Subtask,To Do,DEV,RAD RATS,software,Harini Senevirathne,712020:2f55402c-4486-4dd0-88c1-9fd3013fffbd,Your first project,Medium,,,,Harini Senevirathne,712020:2f55402c-4486-4dd0-88c1-9fd3013fffbd,Harini Senevirathne,712020:2f55402c-4486-4dd0-88c1-9fd3013fffbd,3/20/2026 9:50,3/20/2026 9:50,,,,0,,,Harini Senevirathne,712020:2f55402c-4486-4dd0-88c1-9fd3013fffbd,,,,,,,,,,,0|i0006n:,DEV Sprint 1,,,,,10005,DEV-6,"Role-Based Access Control (RBAC): Implement logic to restrict certain views to ""Volunteer"" or ""Admin"" roles.",To Do,3/20/2026 9:50
"Secure Admin Endpoints: Restrict ""View Reports"" and ""Assign Roles"" APIs to the ADMIN role only.",DEV-34,10039,Subtask,To Do,DEV,RAD RATS,software,Harini Senevirathne,712020:2f55402c-4486-4dd0-88c1-9fd3013fffbd,Your first project,Medium,,,,Harini Senevirathne,712020:2f55402c-4486-4dd0-88c1-9fd3013fffbd,Harini Senevirathne,712020:2f55402c-4486-4dd0-88c1-9fd3013fffbd,3/20/2026 9:50,3/20/2026 9:50,,,,0,,,Harini Senevirathne,712020:2f55402c-4486-4dd0-88c1-9fd3013fffbd,,,,,,,,,,,0|i0006f:,DEV Sprint 1,,,,,10005,DEV-6,"Role-Based Access Control (RBAC): Implement logic to restrict certain views to ""Volunteer"" or ""Admin"" roles.",To Do,3/20/2026 9:50
"Secure Volunteer Endpoints: Restrict ""Update Availability"" and ""Accept Task"" APIs so only users with the VOLUNTEER role can call them.",DEV-33,10037,Subtask,To Do,DEV,RAD RATS,software,Harini Senevirathne,712020:2f55402c-4486-4dd0-88c1-9fd3013fffbd,Your first project,Medium,,,,Harini Senevirathne,712020:2f55402c-4486-4dd0-88c1-9fd3013fffbd,Harini Senevirathne,712020:2f55402c-4486-4dd0-88c1-9fd3013fffbd,3/20/2026 9:49,3/20/2026 9:49,,,,0,,,Harini Senevirathne,712020:2f55402c-4486-4dd0-88c1-9fd3013fffbd,,,,,,,,,,,0|i00067:,DEV Sprint 1,,,,,10005,DEV-6,"Role-Based Access Control (RBAC): Implement logic to restrict certain views to ""Volunteer"" or ""Admin"" roles.",To Do,3/20/2026 9:49
"Create Role Middleware: Develop a backend function (e.g., @HasRole('ADMIN')) to intercept API requests.",DEV-32,10035,Subtask,To Do,DEV,RAD RATS,software,Harini Senevirathne,712020:2f55402c-4486-4dd0-88c1-9fd3013fffbd,Your first project,Medium,,,,Harini Senevirathne,712020:2f55402c-4486-4dd0-88c1-9fd3013fffbd,Harini Senevirathne,712020:2f55402c-4486-4dd0-88c1-9fd3013fffbd,3/20/2026 9:49,3/20/2026 9:49,,,,0,,,Harini Senevirathne,712020:2f55402c-4486-4dd0-88c1-9fd3013fffbd,,,,,,,,,,,0|i0005z:,DEV Sprint 1,,,,,10005,DEV-6,"Role-Based Access Control (RBAC): Implement logic to restrict certain views to ""Volunteer"" or ""Admin"" roles.",To Do,3/20/2026 9:49
JWT Claims Integration: Modify the Token generation logic to include the role inside the JSON Web Token (JWT) payload.,DEV-31,10033,Subtask,To Do,DEV,RAD RATS,software,Harini Senevirathne,712020:2f55402c-4486-4dd0-88c1-9fd3013fffbd,Your first project,Medium,,,,Harini Senevirathne,712020:2f55402c-4486-4dd0-88c1-9fd3013fffbd,Harini Senevirathne,712020:2f55402c-4486-4dd0-88c1-9fd3013fffbd,3/20/2026 9:49,3/20/2026 9:49,,,,0,,,Harini Senevirathne,712020:2f55402c-4486-4dd0-88c1-9fd3013fffbd,,,,,,,,,,,0|i0005r:,DEV Sprint 1,,,,,10005,DEV-6,"Role-Based Access Control (RBAC): Implement logic to restrict certain views to ""Volunteer"" or ""Admin"" roles.",To Do,3/20/2026 9:49
Role Seeding: Create a script to assign specific roles to existing test users in the database.,DEV-30,10031,Subtask,To Do,DEV,RAD RATS,software,Harini Senevirathne,712020:2f55402c-4486-4dd0-88c1-9fd3013fffbd,Your first project,Medium,,,,Harini Senevirathne,712020:2f55402c-4486-4dd0-88c1-9fd3013fffbd,Harini Senevirathne,712020:2f55402c-4486-4dd0-88c1-9fd3013fffbd,3/20/2026 9:49,3/20/2026 9:49,,,,0,,,Harini Senevirathne,712020:2f55402c-4486-4dd0-88c1-9fd3013fffbd,,,,,,,,,,,0|i0005j:,DEV Sprint 1,,,,,10005,DEV-6,"Role-Based Access Control (RBAC): Implement logic to restrict certain views to ""Volunteer"" or ""Admin"" roles.",To Do,3/20/2026 9:49
